RADIO,PERSONAS,decil_NSE
060283610,1168,4
060283611,1231,2
060283612,1450,1
060283613,1128,1
060283614,1685,4
060283615,1816,4
060283701,1101,7
060283702,918,5
060283703,1018,4
060283704,1164,5
060283705,1318,4
060283706,1504,3
060283707,897,2
060283708,835,4
060283709,912,6
060283710,1298,3
060283711,1333,3
060283712,1552,3
060283713,1140,5
060283714,1164,4
060283801,2091,2
060283802,1299,2
060283803,1381,3
060283804,1487,6
060283805,1120,7
060283806,922,5
060283807,761,5
060283808,1224,6
060283809,1022,7
060283810,980,5
060283811,881,6
060283812,1046,6
060283901,1311,1
060283902,1495,2
060283903,1229,1
060283904,1336,2
060283905,1278,2
060283906,951,5
060283907,1116,2
060283908,1038,4
060283909,1796,2
060283910,1618,3
060283911,1560,1
060283912,1569,2
060283913,1886,1
060283914,831,2
060283915,949,3
500280101,477,8
500280102,811,7
500280103,733,7
500280104,583,9
500280105,755,8
500280106,1002,6
500280107,666,8
500280108,776,6
500280109,659,7
500280110,866,7
500280111,1015,4
500280112,533,9
500280201,772,6
500280202,763,4
500280203,853,4
500280204,562,5
500280205,967,5
500280206,1020,7
500280207,683,7
500280208,643,8
500280209,886,6
500280210,680,5
500280211,918,7
500280212,886,7
500280213,559,6
500280214,615,3
500280301,1376,4
500280302,1339,3
500280303,1037,1
500280304,1696,2
500280305,1292,2
500280306,1491,2
500280307,1245,2
500280308,1151,2
500280309,952,3
500280310,1643,3
500280311,1097,4
500280312,1236,4
500280313,1641,3
500280314,1524,1
500280315,1867,2
500280316,1145,1
500280317,1020,6
500280401,731,6
500280402,826,4
500280403,1635,6
500280404,838,6
500280405,829,6
500280406,986,5
500280407,1020,4
500280408,1207,4
500280409,1378,4
500280410,1135,1
500280411,1426,1
500280412,1178,3
500280413,1728,3
500280414,1369,2
500280415,1111,4
500280601,958,2
500280602,715,4
500280603,691,2
500280604,1397,1
500280605,1181,1
500280606,1837,4
500280607,1326,1
500280608,1026,3
500280609,434,3
500280610,1342,1
500280611,963,1
500280612,389,2
500280613,1055,3
500280614,1187,3
500280701,772,8
500280702,753,10
500280703,881,8
500280704,1156,10
500280705,751,9
500280706,1166,6
500280707,981,7
500280708,899,8
500280709,1186,6
500280710,698,5
500280711,850,9
500280712,1105,9
500280801,1318,8
500280802,550,8
500280803,598,8
500280804,612,6
500280805,927,9
500280806,886,6
500280807,903,5
500280808,1036,3
500280809,1096,3
500280810,835,7
500280811,1201,7
500280812,964,9
500280813,1138,5
500280814,597,8
500280815,1090,7
500280816,735,5
500280817,754,5
500280818,498,7
500280819,497,8
500280820,588,7
500280901,1057,6
500280902,692,8
500280903,842,9
500280904,521,9
500280905,1076,9
500280906,1233,8
500280907,484,10
500280908,1089,9
500280909,889,5
500280910,1074,9
500280911,472,5
500280912,890,10
500280913,1052,8
500280914,557,10
500281001,990,5
500281002,828,2
500281003,696,4
500281004,1225,2
500281005,621,4
500281006,1107,6
500281007,1284,6
500281008,1287,4
500281009,798,6
500281010,1045,5
500281101,963,2
500281102,990,1
500281103,1582,3
500281104,1720,3
500281105,1344,2
500281106,1122,2
500281107,1413,3
500281108,1260,2
500281109,1164,3
500281110,1326,2
500281111,734,1
500281112,1007,3
500281113,671,1
500281114,929,4
500281115,1194,2
500281116,771,3
500281117,943,3
500281118,893,2
500281201,1597,8
500281202,988,2
500281203,1110,1
500281204,1299,2
500281205,876,8
500281206,906,7
500281207,763,7
500281208,627,6
500281209,1015,4
500281210,1359,5
500281211,958,4
500281212,909,5
500281213,814,5
500281214,926,4
500281215,775,8
500281216,947,8
500281217,901,6
500281218,841,6
500281219,1297,7
500281301,962,4
500281302,1007,5
500281303,1177,4
500281304,1021,4
500281305,1027,6
500281306,683,5
500281307,588,5
500281308,991,6
500281309,691,5
500281310,921,7
500281311,728,3
500281312,613,4
500281401,535,9
500281402,598,7
500281403,548,8
500281404,840,7
500281405,920,8
500281406,877,6
500281407,979,8
500281408,950,7
500281409,838,7
500281410,742,7
500281411,622,7
500281412,996,8
500281413,943,6
500281414,648,10
500281415,793,10
500281501,1362,4
500281502,2037,3
500281503,506,3
500281504,1126,5
500281505,1796,2
500281506,1654,1
500281507,1314,2
500281508,974,3
500281601,836,5
500281602,629,5
500281603,722,5
500281604,911,6
500281606,618,9
500281607,556,9
500281608,1060,7
500281609,1363,6
500281610,918,6
500281611,1090,6
500281701,784,3
500281702,974,4
500281703,1174,3
500281704,781,4
500281705,762,3
500281706,1313,4
500281707,1534,5
500281708,834,4
500281709,730,6
500281710,1053,4
500281711,511,3
500281801,1032,6
500281802,1117,7
500281803,1719,2
500281804,1224,3
500281805,1521,4
500281806,932,5
500281807,1570,4
500281808,1005,5
500281809,1128,6
500281810,973,6
500281811,934,4
500281812,889,2
500281901,1651,5
500281902,876,4
500281903,787,5
500281904,1323,1
500281905,2148,1
500281906,1320,3
500281907,845,2
500281908,1194,6
500281909,1337,6
500281910,1244,2
500282001,1138,6
500282002,844,5
500282003,643,4
500282004,605,3
500282005,816,4
500282006,875,5
500282007,1000,7
500282008,590,7
500282009,985,8
500282010,671,6
500282011,794,8
540280101,617,8
540280102,924,1
540280103,1544,2
540280104,693,5
540280105,221,7
540280106,316,7
540280107,886,8
540280108,638,9
540280109,506,10
540280110,549,10
540280111,733,9
540280112,932,10
540280113,495,10
540280114,466,9
540280116,13,10
540280117,504,10
540280118,367,10
540280119,516,10
540280201,478,10
540280202,448,10
540280203,676,10
540280204,585,10
540280205,626,10
540280206,547,9
540280207,632,10
540280208,477,10
540280209,370,10
540280210,600,10
540280211,453,10
540280212,310,10
540280213,456,10
540280214,314,10
540280215,459,10
540280216,264,10
540280217,573,10
540280218,282,10
540280301,1611,5
540280302,1026,7
540280303,1151,5
540280304,682,7
540280305,1140,6
540280306,864,6
540280307,1635,6
540280308,1540,6
540280309,716,9
540280310,838,7
540280311,1318,7
540280312,1054,6
540280313,843,5
540280314,762,9
540280401,1202,6
540280402,1539,2
540280403,687,8
540280404,518,7
540280405,866,9
540280406,825,9
540280407,818,8
540280408,1352,7
540280409,921,6
540280410,1486,2
540280411,1010,3
540280412,1558,4
540280413,1261,1
540280414,776,7
540280415,802,4
540280416,725,8
540280417,1317,2
540280418,966,3
540280419,1560,1
540280501,748,9
540280502,790,8
540280504,600,5
540280505,1246,5
540280506,1038,9
540280507,759,9
540280508,684,9
540280509,788,7
540280510,338,6
540280511,978,1
540280601,1107,8
540280602,949,7
540280603,1334,8
540280604,598,3
540280605,889,1
540280606,645,8
540280607,1026,4
540280608,852,4
540280609,881,7
540280610,542,5
540280611,1037,4
540280612,1308,2
540280613,1192,4
540280614,836,3
540280615,195,8
540280616,910,2
540280617,857,6
540280618,1881,3
540280701,968,4
540280702,1060,2
540280703,1118,8
540280704,832,9
540280705,859,8
540280706,549,9
540280707,517,7
540280708,778,8
540280709,663,8
540280710,970,6
540280711,659,9
540280712,1044,4
540280713,1478,4
540280714,1260,3
540280715,926,3
540280716,1159,4
540280717,817,5
540280718,649,5
540280719,839,7
540280720,1015,3
540280721,813,8
540280803,1238,3
540280804,864,5
540280805,784,4
540280806,1171,1
540280807,2035,1
540280808,1615,1
540280809,1536,2
540280810,1391,2
540280811,882,4
540280812,1459,5
540280813,780,4
540280814,901,4
540280815,959,2
540280816,986,6
540280817,649,3
540280818,1324,3
540280819,865,7
540280820,1699,1
540280821,1030,1
540280822,570,8
540280901,614,10
540280902,580,9
540280903,419,6
540280906,580,8
540280907,902,10
540280908,748,10
540280909,393,10
540280910,404,9
540280911,463,8
540281001,528,10
540281002,386,9
540281003,791,9
540281004,1118,8
540281005,680,9
540281006,590,8
540281007,630,8
540281008,1269,9
540281009,1221,7
540281010,1056,7
540281011,896,8
540281012,826,8
540281013,522,10
540281014,603,8
540281015,623,5
540281201,1641,6
540281202,655,6
540281205,1073,6
540281206,1135,6
540281207,1013,5
540281208,1172,3
540281209,1463,2
540281210,1715,8
540281211,1854,2
540281212,1649,4
540281213,2117,2
540281214,1620,9
540281215,934,7
540281216,1525,4
540281217,1104,9
540281218,1919,1
540281219,1535,7
540281220,974,6
540281306,1260,3
540281307,587,2
540281308,1090,2
540281309,572,1
540281310,912,1
540281311,1014,5
540281312,1203,3
540281313,1344,1
540281314,1773,1
540281315,1706,2
540281316,1121,6
540281317,728,3
540281318,454,7
540281319,1747,5
540281320,660,5
540281321,640,4
540281322,1390,1
540281323,624,3
540281504,1451,6
540281505,1347,8
540281801,1602,1
540281802,941,1
540281803,1023,1
540281804,1197,2
540281805,796,4
540281806,628,2
540281807,1370,2
540281808,716,3
540281809,892,2
540281810,1058,3
540281811,1098,3
540281812,915,3
540281813,1613,1
540281814,1423,1
540281815,1299,3
540281816,869,1
540281817,826,2
540281818,720,5
540281819,823,2
540281820,684,2
540281821,875,1
540281822,720,6
540281901,1724,3
540281902,619,3
540281903,1298,5
540281904,1254,1
540281905,1496,7
540281906,1117,6
540281907,1168,7
540281908,1500,6
540281909,1350,5
540281910,808,6
540281911,1088,4
540281912,1403,5
540281913,1741,3
540281914,1294,3
540281915,1033,6
540281916,1300,5
540281917,1674,1
540281918,1190,9
540281919,1645,3
540281920,1403,4
540281921,1489,5
540281922,1238,6
540281923,1820,5
540281924,1987,3
540281925,1568,5
540281926,1352,5
540281927,997,4
540281928,1127,7
540282001,1719,7
540282002,1796,7
540282003,1524,6
540282004,1752,5
540282005,1152,4
540282006,1124,4
540282007,1139,3
540282008,453,4
540282009,1053,4
540282010,772,4
540282011,1800,5
540282012,643,6
540282013,972,3
540282014,772,4
540282015,1156,1
540282016,1224,7
540282017,1033,1
540282018,848,8
540282019,1377,5
540282020,762,4
540282021,1242,2
540282201,715,7
540282202,1405,8
540282203,579,9
540282204,972,5
540282205,564,9
540282206,1048,8
540282207,824,9
540282208,628,9
540282209,1183,8
540282210,914,7
540282211,588,8
540282212,694,9
540282213,559,9
540282301,1516,5
540282302,818,4
540282303,1095,4
540282304,1237,6
540282305,1624,4
540282306,1232,2
540282307,874,6
540282308,774,5
540282309,983,3
540282310,733,7
540282311,1736,3
540282312,1496,2
540282313,1148,3
540282314,576,9
540282401,1138,4
540282402,1048,6
540282403,1243,6
540282404,1981,1
540282405,1228,1
540282406,1003,2
540282407,1767,2
540282408,1736,2
540282409,1152,2
540282410,1172,2
540282411,1060,5
540282412,1703,1
540282413,748,7
540282414,1066,7
540282415,1770,1
540282416,1571,1
540282417,191,2
660280105,1225,10
660280106,1208,9
660280114,1034,10
660280115,701,10
660280117,1494,2
660280118,1528,2
660280119,1295,1
660280205,747,10
660280206,1091,2
660280207,1564,6
660280208,941,1
660280401,942,8
660280402,1512,3
660280403,1269,3
660280404,1815,2
660280405,1939,1
660280406,1878,2
660280407,1530,2
660280408,1709,4
660280409,1110,8
660280410,962,8
660280411,635,10
660280412,1228,8
660280413,1375,8
660280414,724,10
660280415,1133,4
660280416,815,7
660280417,2268,2
660280418,1356,2
660280419,1311,1
660280420,1006,3
660280421,889,8
660280422,1848,5
660280423,1731,6
660280501,1685,6
660280502,766,7
660280503,1093,4
660280504,1014,2
660280505,1165,5
660280506,1273,4
660280507,1325,7
660280508,1315,7
660280509,1278,4
660280510,1591,8
660280511,879,8
660280512,900,10
660280513,837,9
660280514,826,8
660280515,1004,9
660280516,1458,7
660280517,1221,9
660280518,736,9
660280519,601,9
660280520,696,10
660280601,1258,8
660280602,1234,7
660280603,1185,9
660280604,1057,9
660280605,1328,9
660280606,867,9
660280607,920,10
660280608,1019,9
660280609,731,9
660280610,957,9
660280611,1327,10
660280612,802,10
660280613,741,10
660280614,724,10
660280615,724,10
660280616,1152,10
660280617,729,10
660280618,664,9
660280619,1112,7
660280620,783,7
660280621,1504,7
660280622,1346,8
660280701,1309,5
660280702,1427,5
660280703,1197,3
660280704,1200,3
660280705,1042,4
660280706,1012,5
660280707,1707,5
660280708,1469,5
660280709,1547,4
660280710,1428,5
660280711,1943,5
660280712,804,7
660280713,1287,6
660280714,1181,4
660280715,1248,6
660280716,1360,6
660280717,1270,5
660280801,184,NA
660280802,814,7
660280803,856,6
660280804,927,5
660280805,865,8
660280806,1404,6
660280807,906,5
660280808,968,6
660280809,1848,6
660280810,1049,7
660280811,885,6
660280812,869,6
660280813,971,7
660280814,535,9
660280815,712,8
660280901,1433,10
660280902,1549,10
660280903,1013,7
660280904,1113,3
660280905,1674,6
660280906,1701,5
660280907,987,9
660280908,1178,4
660280909,1489,7
660280910,689,7
660280911,668,8
660280912,654,9
660280913,840,9
660280914,1005,8
660280915,639,9
660280916,709,9
660281001,852,8
660281002,1093,8
660281003,1168,6
660281004,1049,7
660281005,924,9
660281006,1179,8
660281007,703,9
660281008,510,9
660281009,898,9
660281010,902,10
660281011,550,9
660281012,821,4
660281013,700,9
660281101,817,9
660281102,533,10
660281103,847,10
660281104,640,9
660281105,844,10
660281106,729,9
660281107,651,10
660281108,508,10
660281109,540,10
660281110,534,10
660281111,468,10
660281112,679,10
660281113,569,10
660281114,692,10
660281115,458,10
660281116,262,10
660281201,931,10
660281202,656,10
660281203,625,10
660281204,658,10
660281205,467,10
660281206,878,8
660281207,428,9
660281208,514,10
660281209,524,9
660281210,866,7
660281211,2421,5
660281212,1899,4
660281213,1993,3
660281214,1059,2
660281215,1095,2
660281301,1035,9
660281302,363,10
660281303,782,10
660281304,521,9
660281305,1203,8
660281306,891,8
660281307,1146,9
660281308,668,9
660281309,500,9
660281310,660,8
660281311,464,9
660281401,1062,8
660281402,1200,9
660281403,1059,9
660281404,815,8
660281405,951,8
660281406,1332,6
660281407,1440,7
660281408,1406,4
660281409,1374,5
660281410,1267,6
660281411,1748,5
660281412,1594,4
660281413,1492,6
660281414,891,7
660281501,904,9
660281502,1821,2
660281503,1828,1
660281504,1564,2
660281505,1585,1
660281506,1486,1
660281507,1674,1
660281508,1157,4
660281509,1034,3
660281510,1019,3
660281511,1655,2
660281512,1603,2
660281513,1227,3
660281514,938,8
660281515,1528,6
660281516,966,7
660281517,791,6
660281518,1317,5
660281519,895,6
660281520,1027,5
660281521,930,5
660281522,1352,4
660281523,1014,4
660281524,1714,4
660281525,1437,3
660281601,1575,4
660281602,2300,3
660281603,933,3
660281604,1186,5
660281605,1506,5
660281606,1368,5
660281607,1092,8
660281608,1331,3
660281609,1356,4
660281610,1480,4
660281611,1443,5
660281612,1096,6
660281613,1104,6
660281614,1354,6
660281615,1153,3
660281616,1436,2
660281617,1828,3
660281618,1777,5
660281619,2054,2
660281701,808,9
660281702,825,8
660281703,849,5
660281704,762,8
660281705,978,6
660281706,738,7
660281707,1395,4
660281708,1400,5
660281709,1304,5
660281710,853,4
660281711,889,3
660281712,1554,3
660281713,1391,1
660281714,1856,3
660281715,1140,3
660281716,1353,4
660281801,1060,7
660281802,1525,7
660281803,900,6
660281804,922,5
660281805,982,4
660281806,1124,6
660281807,915,5
660281808,865,6
660281809,921,5
660281810,1023,4
660281811,1342,4
660281812,1007,7
660281813,1269,5
660281814,1382,3
660281815,974,3
660281816,1107,4
660281817,1162,3
660281818,1120,3
660281901,1517,3
660281902,1337,2
660281903,1032,3
660281904,1062,2
660281905,1577,4
660281906,1255,3
660281907,1273,4
660281908,1083,5
660281909,1141,2
660281910,1914,2
660281911,1334,5
660281912,853,3
660281913,1201,6
660281914,1320,1
660281915,1288,2
660282001,840,7
660282002,1237,7
660282003,832,8
660282004,1076,5
660282005,669,8
660282006,627,8
660282007,1570,5
660282008,1247,3
660282009,1486,2
660282010,1010,2
660282011,1686,2
660282012,1490,1
660282013,1147,1
660282014,1434,2
660282015,1425,2
660282016,1548,1
660282017,1544,1
660282018,2213,1
660282019,928,1
660282101,720,8
660282102,590,10
660282103,467,9
660282104,1463,5
660282105,1840,4
660282106,1537,7
660282107,1005,8
660282108,799,8
660282109,749,8
660282110,418,9
660282111,879,7
660282112,868,10
660282113,1103,6
660282114,863,6
660282115,1530,6
660282116,1868,5
660282117,1540,7
660282118,1160,7
660282119,1301,6
660282120,1389,4
660282121,1566,4
660282122,1263,7
660282123,945,5
660282124,916,7
660282201,1212,5
660282202,793,4
660282203,1508,4
660282204,1953,4
660282205,884,6
660282206,973,6
660282207,906,7
660282208,1113,10
660282209,1123,9
660282210,1259,9
660282211,1018,9
660282212,1510,6
660282213,1445,5
660282214,1624,7
660282301,1654,2
660282302,1198,4
660282303,2049,2
660282304,1638,2
660282305,1733,1
660282306,1602,1
660282307,1641,1
660282308,1689,1
660282309,1894,3
660282310,1592,3
660282311,1779,1
660282312,1507,3
660282313,1802,2
660282314,1776,1
660282315,1598,2
660282316,1397,1
660282317,1601,2
660282318,1504,1
660282401,383,10
660282402,743,10
660282403,1322,4
660282404,1686,2
660282405,1597,1
660282406,1375,1
660282407,977,2
660282408,1882,2
660282409,1622,1
660282410,2003,1
660282411,1895,2
660282412,2209,2
660282501,1565,7
660282502,874,7
660282503,892,6
660282504,1018,8
660282505,575,8
660282506,852,7
660282507,1051,6
660282508,1531,6
660282509,995,8
660282510,1540,7
660282511,1587,7
660282512,948,8
660282513,834,7
660282514,1181,6
660282515,1317,8
660282601,1211,3
660282602,1268,4
660282603,1308,2
660282604,988,2
660282605,1069,3
660282606,1262,3
660282607,1886,1
660282608,1922,1
660282609,2042,1
660282610,2127,1
660282611,1781,2
660282612,2271,1
660282613,1931,1
660282614,2148,1
660282615,1598,1
660282616,1483,1
660282617,1885,3
660282618,1351,1
660282619,1660,1
660282620,1456,1
660282701,1082,3
660282702,1045,1
660282703,1526,3
660282704,1506,4
660282705,1226,3
660282706,1032,2
660282707,1101,1
660282708,1193,1
660282709,1337,2
660282710,1084,3
660282711,1328,3
660282712,1375,3
660282713,1662,3
660282714,1354,3
660282715,1560,2
660282801,781,8
660282802,764,7
660282803,876,7
660282804,741,8
660282805,1145,8
660282806,1729,4
660282807,1334,5
660282808,1202,7
660282809,2021,6
660282810,1791,5
660282811,1466,7
660282812,1416,6
660282813,1965,4
660282814,974,6
660282815,971,4
700280101,848,10
700280102,596,10
700280103,619,10
700280104,676,10
700280105,330,10
700280106,742,10
700280107,416,10
700280108,477,10
700280109,352,10
700280110,609,10
700280111,528,10
700280112,681,10
700280113,369,9
700280114,690,10
700280115,365,10
700280116,552,10
700280117,376,9
700280118,422,10
700280201,965,8
700280202,1045,7
700280203,1303,10
700280204,653,10
700280205,703,7
700280206,650,6
700280207,656,9
700280208,629,5
700280209,744,9
700280210,833,9
700280211,555,8
700280212,414,8
700280213,559,8
700280301,916,1
700280302,852,4
700280303,1289,4
700280304,1249,4
700280305,948,5
700280306,853,8
700280307,626,8
700280308,895,6
700280309,905,7
700280310,610,5
700280311,684,5
700280312,512,7
700280313,1092,6
700280314,672,8
700280315,413,9
700280316,851,9
700280317,554,9
700280318,1245,3
700280319,609,8
700280320,450,9
700280321,491,10
700280401,375,7
700280402,560,6
700280403,662,10
700280404,477,9
700280405,1212,7
700280406,792,9
700280407,684,9
700280408,904,8
700280409,615,7
700280410,903,8
700280411,579,9
700280412,1065,7
700280413,885,7
700280414,1036,9
700280501,846,8
700280502,897,9
700280503,465,10
700280504,919,10
700280505,449,10
700280506,1040,10
700280507,576,9
700280508,760,8
700280509,591,10
700280510,660,10
700280511,927,9
700280512,562,10
700280513,728,9
700280514,442,10
700280515,704,6
700280516,615,10
700280601,1399,1
700280602,1166,7
700280603,704,5
700280604,824,6
700280605,994,8
700280606,587,5
700280607,805,5
700280608,979,9
700280609,840,7
700280610,561,9
700280611,920,8
700280612,758,8
700280613,859,9
700280614,674,8
700280615,913,5
700280616,533,6
700280617,1180,6
700280618,1180,4
700280619,439,9
700280701,993,9
700280702,595,10
700280703,982,9
700280704,1024,6
700280705,891,7
700280706,794,8
700280707,1062,6
700280708,1006,4
700280709,1102,2
700280710,974,6
700280711,1142,4
700280712,1247,6
700280713,762,5
700280714,1108,5
700280715,752,10
700280716,412,9
700280801,882,7
700280802,641,8
700280803,690,5
700280804,588,7
700280805,821,8
700280806,787,10
700280807,765,10
700280808,637,10
700280809,895,10
700280810,974,7
700280811,574,8
700280901,1025,9
700280902,849,9
700280903,631,7
700280904,533,10
700280905,744,9
700280906,451,9
700280907,648,9
700280908,1149,7
700280909,828,7
700280910,834,9
700280911,302,7
700280912,550,4
700280913,536,6
700280914,515,7
700280915,1011,7
700280916,1099,5
820280301,2417,1
820280302,1015,6
820280303,1149,5
820280304,905,6
820280305,774,8
820280322,767,1
820280326,1751,5
820280327,310,3
820280401,1166,5
820280402,837,6
820280403,1160,3
820280404,1154,4
820280405,1210,2
820280406,704,9
820280407,904,8
820280408,748,9
820280409,866,8
820280410,1531,6
820280411,820,7
820280412,1066,6
820280413,1209,9
820280414,1311,5
820280415,1014,6
820280501,1159,1
820280502,679,4
820280503,834,5
820280504,897,7
820280505,1524,1
820280506,1890,3
820280507,981,3
820280508,1450,5
820280509,1279,1
820280510,674,3
820280511,1416,5
820280512,1993,1
820280513,1526,1
820280514,1293,5
820280515,1535,1
820280516,800,3
820280517,1710,2
060350101,2578,2
060350102,1648,3
060350103,757,6
060350104,723,2
060350105,480,5
060350106,742,5
060350107,775,5
060350108,505,4
060350109,476,2
060350110,1016,5
060350111,948,3
060350201,1074,2
060350202,1136,2
060350203,1181,3
060350301,999,6
060350302,1272,3
060350303,951,5
060350304,999,9
060350305,727,9
060350306,1036,9
060350307,900,9
060350308,820,8
060350309,540,8
060350310,670,8
060350311,982,9
060350312,750,8
060350313,1049,7
060350314,811,9
060350315,947,8
060350401,1417,4
060350402,872,6
060350403,1081,5
060350404,1362,3
060350405,1145,5
060350406,1033,6
060350407,1071,4
060350408,864,6
060350409,1408,8
060350410,732,6
060350411,1353,7
060350412,918,7
060350413,951,8
060350414,728,9
060350415,692,10
060350501,596,6
060350502,1241,9
060350503,730,10
060350504,1143,6
060350505,3232,2
060350506,1679,3
060350507,1490,6
060350508,985,8
060350509,876,8
060350510,852,9
060350511,760,8
060350512,778,7
060350601,1086,6
060350602,1083,8
060350603,952,8
060350604,795,8
060350605,881,8
060350606,961,6
060350607,589,7
060350608,880,8
060350609,1137,3
060350610,917,6
060350611,797,5
060350612,947,8
060350701,718,5
060350702,1151,5
060350703,919,4
060350704,840,6
060350705,835,6
060350706,1103,7
060350707,598,5
060350708,318,8
060350709,337,7
060350710,403,5
060350711,641,7
060350712,285,8
060350801,986,5
060350802,673,3
060350803,1132,6
060350804,1024,4
060350805,414,2
060350806,737,4
060350807,704,5
060350808,680,6
060350809,833,4
060350810,603,4
060350811,799,6
060350812,3210,6
060350813,1317,4
060350814,689,5
060350815,1786,3
060350901,780,1
060350902,676,2
060350903,592,3
060350904,2610,2
060350905,875,1
060350906,754,1
060350907,978,1
060350908,1263,2
060350909,624,2
060350910,1478,3
060350911,1235,1
060350912,633,5
060350913,871,4
060350914,776,5
060351001,744,4
060351002,2113,10
060351003,916,5
060351004,967,4
060351005,569,9
060351006,751,8
060351007,814,9
060351008,456,10
060351009,312,10
060351010,742,10
060351011,650,9
060351012,647,10
060351101,579,4
060351102,972,6
060351103,510,6
060351104,830,9
060351105,1374,9
060351106,872,8
060351107,344,6
060351108,928,9
060351109,561,10
060351110,836,10
060351201,653,9
060351202,850,9
060351203,407,8
060351204,364,9
060351205,836,8
060351206,515,10
060351207,362,10
060351208,1119,10
060351209,253,10
060351210,789,10
060351211,825,10
060351212,558,10
060351301,979,7
060351302,902,9
060351303,746,8
060351304,790,9
060351305,721,6
060351306,633,9
060351307,638,7
060351308,683,9
060351309,475,9
060351310,627,9
060351401,722,9
060351402,554,9
060351403,937,8
060351404,852,9
060351405,635,10
060351406,546,10
060351407,528,10
060351408,891,8
060351409,665,10
060351410,830,9
060351411,559,8
060351412,639,9
060351413,614,7
060351501,779,5
060351502,812,8
060351503,861,9
060351504,771,8
060351505,1018,5
060351506,1460,7
060351507,992,8
060351508,871,8
060351509,750,7
060351510,678,8
060351511,770,9
060351512,640,8
060351601,474,9
060351602,928,9
060351603,871,7
060351604,391,5
060351605,803,7
060351606,820,8
060351607,581,6
060351608,1020,6
060351609,907,7
060351610,964,7
060351611,721,7
060351701,813,7
060351702,795,9
060351703,866,7
060351704,866,8
060351705,1048,8
060351706,748,5
060351707,882,8
060351708,778,6
060351709,742,5
060351710,1070,7
060351711,665,7
060351801,843,8
060351802,915,8
060351803,753,6
060351804,749,7
060351805,761,7
060351806,888,7
060351807,665,9
060351808,654,8
060351809,840,7
060351810,689,4
060351811,907,5
060351901,844,7
060351902,972,7
060351903,852,7
060351904,734,6
060351905,915,8
060351906,925,6
060351907,821,6
060351908,832,6
060351909,871,7
060351910,1169,5
060351911,1071,7
060352001,992,8
060352002,991,10
060352003,1089,9
060352004,711,7
060352005,868,8
060352006,896,6
060352007,991,7
060352008,982,7
060352009,872,6
060352010,942,6
060352011,839,6
060352101,1135,8
060352102,1043,8
060352103,585,9
060352104,520,9
060352105,381,9
060352106,469,9
060352107,621,9
060352108,558,9
060352109,691,9
060352110,781,9
060352201,1450,5
060352202,650,9
060352203,462,9
060352204,449,9
060352205,533,10
060352206,711,9
060352207,646,10
060352208,476,9
060352209,609,9
060352210,742,9
060352211,477,10
060352212,127,7
060352301,473,9
060352302,469,8
060352303,621,8
060352304,360,9
060352305,1019,7
060352306,1048,6
060352307,1166,4
060352308,840,3
060352309,800,7
060352310,918,8
060352311,993,6
060352312,1352,3
060352401,949,6
060352402,940,6
060352403,1275,4
060352404,1009,4
060352405,743,8
060352406,909,7
060352407,920,6
060352408,1113,5
060352409,1143,4
060352410,1067,6
060352411,1398,4
060352501,661,4
060352502,881,6
060352503,1442,5
060352504,813,6
060352505,1050,5
060352506,1012,6
060352507,856,5
060352508,960,5
060352509,950,6
060352510,1845,5
060352511,1203,7
060352601,1387,4
060352602,1530,3
060352603,773,4
060352604,293,1
060352605,2013,4
060352606,820,3
060352607,1017,3
060352608,856,4
060352609,1192,3
060352610,1896,1
060352611,1584,2
060352612,785,4
060352613,788,2
060352614,939,3
060352615,1011,5
060352701,292,1
060352702,846,5
060352703,885,3
060352704,2334,3
060352705,779,3
060352706,1722,1
060352707,1557,1
060352708,407,3
060352709,973,6
060352710,977,4
060352711,1799,1
060352712,1428,2
060352713,778,6
060352714,1241,1
060352801,1072,7
060352802,1082,4
060352803,915,7
060352804,762,8
060352805,895,6
060352806,945,5
060352807,777,6
060352808,980,6
060352901,648,7
060352902,917,8
060352903,1009,7
060352904,825,8
060352905,726,6
060352906,835,7
060352907,754,7
060352908,752,8
060352909,608,6
060353001,1042,4
060353002,1087,3
060353003,908,5
060353004,1171,5
060353005,798,7
060353006,928,6
060353007,1012,6
060353008,1037,8
060353009,861,6
060353010,829,7
060353101,423,7
060353102,460,9
060353103,735,9
060353104,955,9
060353105,1157,6
060353106,554,6
060353107,446,7
060353108,722,8
060353109,583,6
060353201,1026,8
060353202,750,7
060353203,931,8
060353204,840,8
060353205,677,7
060353206,918,8
060353207,1000,8
060353208,782,8
060353301,965,8
060353302,844,9
060353303,1137,8
060353304,813,8
060353305,492,7
060353306,806,8
060353307,815,7
060353308,745,7
060353401,800,7
060353402,775,8
060353403,603,8
060353404,745,7
060353405,800,7
060353406,1007,8
060353407,599,7
060353408,815,7
060353409,692,7
060353501,1057,6
060353502,872,6
060353503,798,7
060353504,800,6
060353505,1551,6
060353506,786,5
060353507,710,6
060353508,732,6
580350205,507,1
580350206,102,2
580350207,482,1
580350208,381,1
580350209,742,2
580350210,762,1
580350211,395,1
580350212,404,1
580350213,410,1
580350214,509,1
580350215,712,1
580350216,158,10
580350301,831,4
580350302,865,3
580350303,901,3
580350306,1098,10
580350307,1067,8
580350308,1581,2
580350309,939,9
580350310,720,8
580350312,410,9
580350313,925,10
580350314,201,10
580350315,615,1
580350316,947,9
580350401,568,9
580350402,788,9
580350403,433,10
580350404,1561,6
580350405,940,3
580350406,774,8
580350407,658,7
