RADIO,PERSONAS,decil_NSE
020020902,681,9
020020903,865,10
020020904,1021,10
020020905,1028,9
020020906,900,10
020020907,949,10
020020908,1377,9
020020909,1150,9
020021001,975,9
020021002,637,10
020021003,441,9
020021004,785,10
020021005,812,9
020021006,695,10
020021007,868,10
020021008,856,10
020021009,611,9
020021101,1196,10
020021102,564,9
020021103,1643,10
020021104,1393,10
020021105,309,10
020021106,527,9
020021201,970,10
020021202,818,10
020021203,943,10
020021204,1250,10
020021205,1242,9
020021206,983,9
020021301,1196,10
020021302,890,9
020021303,973,10
020021304,1112,10
020021305,1371,10
020021306,1052,10
020021307,1211,10
020021401,760,10
020021402,575,10
020021403,355,8
020021404,743,10
020021405,1124,8
020021406,1031,10
020021407,648,7
020021408,695,8
020021409,1475,10
020021410,1006,9
020021501,601,10
020021502,798,8
020021503,1393,10
020021504,628,9
020021505,555,9
020021506,605,10
020021507,756,10
020021508,708,10
020021601,807,9
020021602,712,9
020021603,698,9
020021604,534,10
020021605,822,9
020021606,675,9
020021607,770,10
020021608,425,9
020021701,1217,9
020021702,838,10
020021703,931,9
020021704,339,7
020021705,532,10
020021706,986,9
020021707,1121,9
020021708,913,9
020021709,741,10
020021801,891,9
020021802,1188,10
020021803,787,10
020021804,1185,7
020021805,549,9
020021806,744,8
020021807,595,9
020021808,912,8
020021901,854,9
020021902,675,8
020021903,717,9
020021904,997,8
020021905,790,8
020021906,745,7
020021907,682,8
020021908,831,6
020022001,959,9
020022002,822,8
020022003,751,9
020022004,841,8
020022005,504,9
020022006,637,7
020022007,569,9
020022008,671,10
020022101,1058,10
020022102,959,10
020022103,775,7
020022104,1046,10
020022105,984,10
020022106,926,9
020022201,699,10
020022202,534,10
020022203,439,10
020022204,959,10
020022205,1093,10
020022206,1016,9
020022301,1079,9
020022302,1025,10
020022303,928,10
020022304,849,9
020022305,650,10
020022306,406,9
020022307,456,9
020022308,445,8
020022309,943,10
020022401,1012,10
020022402,787,9
020022403,795,10
020022404,1050,9
020022405,922,9
020022406,968,8
020022501,570,10
020022502,647,10
020022503,743,5
020022504,757,10
020022505,930,8
020022506,759,5
020022507,768,8
020022508,1222,9
020022509,775,9
020022510,605,9
020022511,1037,5
020030101,1026,7
020030102,903,7
020030103,960,7
020030104,490,5
020030105,909,3
020030106,715,2
020030107,847,1
020030108,491,1
020030109,530,5
020030110,438,2
020030111,462,5
020030201,742,6
020030202,714,6
020030203,676,6
020030204,734,7
020030205,872,3
020030206,927,2
020030207,1021,4
020030208,866,3
020030209,836,3
020030210,427,5
020030211,602,6
020030212,845,6
020030301,1101,7
020030302,860,7
020030303,614,7
020030304,516,6
020030305,579,4
020030306,823,5
020030307,802,5
020030308,726,7
020030309,285,7
020030310,950,2
020030311,869,1
020030401,736,9
020030402,499,5
020030403,681,8
020030404,772,6
020030405,683,3
020030406,655,7
020030407,674,6
020030408,724,3
020030501,802,6
020030502,648,8
020030503,970,7
020030504,542,6
020030505,610,9
020030506,441,10
020030507,768,9
020030601,716,7
020030602,351,7
020030603,617,6
020030604,610,9
020030605,866,4
020030606,522,8
020030607,683,6
020030701,310,6
020030702,864,8
020030703,967,7
020030704,914,8
020030705,579,6
020030706,584,7
020030707,922,6
020030708,395,8
020030709,931,4
020030801,647,7
020030802,552,7
020030803,839,5
020030804,538,7
020030805,496,6
020030806,478,5
020030807,427,4
020030808,524,4
020030809,718,6
020030810,547,4
020030901,860,3
020030902,486,8
020030903,762,6
020030904,1026,3
020030905,594,4
020030906,497,5
020030907,776,2
020030908,740,3
020030909,803,4
020030910,787,3
020031001,786,4
020031002,820,5
020031003,952,4
020031004,733,7
020031005,469,7
020031006,976,3
020031007,742,4
020031008,658,3
020031101,809,6
020031102,934,3
020031103,898,3
020031104,1213,8
020031105,704,6
020031106,916,5
020031107,843,6
020031108,584,6
020031201,679,7
020031202,904,6
020031203,578,3
020031204,491,5
020031205,971,6
020031206,269,2
020031207,928,5
020031208,546,3
020031209,478,4
020031210,845,2
020031301,744,4
020031302,771,2
020031303,817,5
020031304,516,3
020031305,633,3
020031306,735,6
