id,n,total_ha
1,5,6.999017432721088
10,2,2.2879501903469968
100,5,10.599130325031535
1000,6,7.6657845483795155
10000,1,0.5664223898325116
10001,0,0
10002,0,0
10003,0,0
10004,0,0
10005,2,1.1246749050706626
10006,0,0
10007,0,0
10008,1,1.358163045618683
10009,1,1.358163045618683
1001,6,5.453255742603063
10010,1,1.358163045618683
10011,0,0
10012,0,0
10013,0,0
10014,0,0
10015,1,0.932393803142244
10016,1,0.932393803142244
10017,1,0.932393803142244
10018,0,0
10019,0,0
1002,7,8.18987996544022
10020,1,0.932393803142244
10021,0,0
10022,0,0
10023,0,0
10024,0,0
10025,0,0
10026,0,0
10027,0,0
10028,0,0
10029,1,0.932393803142244
1003,3,1.6556375111284551
10030,0,0
10031,0,0
10032,0,0
10033,0,0
10034,0,0
10035,0,0
10036,0,0
10037,0,0
10038,0,0
10039,1,0.932393803142244
1004,5,3.622727467750793
10040,1,0.932393803142244
10041,2,1.556764042039262
10042,2,1.556764042039262
10043,1,0.932393803142244
10044,0,0
10045,1,0.932393803142244
10046,2,1.556764042039262
10047,1,0.6243702388970181
10048,1,0.6243702388970181
10049,1,0.6243702388970181
1005,5,3.622727467750793
10050,0,0
10051,0,0
10054,0,0
10055,0,0
10057,0,0
10058,4,2.5914784031377756
10059,5,3.5277011354855845
1006,4,2.6060374752088333
10060,7,5.955775244374585
10061,6,5.0195525120267765
10062,6,5.3285670989113045
10063,4,4.931506314177966
10064,5,5.777438208720802
10065,2,1.4544617046523838
10066,2,1.5146537586631252
10067,2,1.5146537586631252
10068,2,1.5146537586631252
10069,2,1.1048594534485163
1007,4,2.6060374752088333
10070,6,7.565860272148185
10071,3,3.504784859630413
10072,1,0.6189707956911996
10073,3,3.2647992510520853
10074,3,3.2647992510520853
10075,3,3.2647992510520853
10076,1,0.5790091848879121
10077,2,2.6458284553608857
10078,2,2.6458284553608857
10079,3,3.220632659545634
1008,3,2.066539544244483
10080,8,11.171720605367382
10081,6,9.123233938728976
10082,7,11.743242083897925
10083,4,9.025529546982632
10084,3,5.671316973797861
10085,4,2.9907838278272774
10086,6,5.445919460126863
10087,3,2.602244686059095
10088,10,11.613663767053286
10089,10,16.151401356029904
1009,5,8.345990680490772
10090,11,17.748408337405007
10091,9,16.40560124028192
10092,7,15.204160771910303
10093,10,17.89482240926488
10094,6,11.67247350452935
10095,9,14.592844641044204
10096,10,18.124531908425155
10097,8,16.07016857020769
10098,2,1.3906642037349426
10099,0,0
101,4,10.399960100685421
1010,7,9.863626904084079
10100,2,1.200946889714559
10101,0,0
10102,1,0.9828032066816464
10103,0,0
10104,1,0.9828032066816464
10105,1,0.9828032066816464
10106,1,0.9828032066816464
10107,1,0.9828032066816464
10108,0,0
10109,0,0
1011,4,2.279029380192736
10110,0,0
10111,0,0
10112,0,0
10113,2,1.9115813057307154
10114,0,0
10115,0,0
10116,0,0
10117,1,0.5278666089113802
10118,2,1.2453580829570186
10119,2,1.2453580829570186
1012,5,5.441958150049567
10120,0,0
10121,0,0
10122,1,0.7174914740456385
10123,2,1.2453580829570186
10124,1,0.5278666089113802
10125,2,1.2453580829570186
10126,0,0
10127,0,0
10128,0,0
10129,0,0
1013,3,1.6556375111284551
10130,0,0
10131,1,25.230398306159675
10132,1,0.5499278173230588
10133,1,0.5718878890737891
10134,1,0.5718878890737891
10135,1,0.5499278173230588
10136,2,2.0337064827896656
10137,2,2.0337064827896656
10138,1,0.5499278173230588
10139,1,0.5499278173230588
1014,4,2.279029380192736
10140,1,0.5718878890737891
10141,0,0
10142,2,2.364423860535072
10143,0,0
10144,0,0
10145,1,0.5753598825978697
10146,1,0.5207842166649178
10147,2,2.364423860535072
10148,2,2.364423860535072
10149,2,2.364423860535072
1015,4,2.279029380192736
10150,1,0.7174914740456385
10151,0,0
10152,1,0.8989679434333928
10153,3,2.8912295205155387
10154,0,0
10155,4,3.500946205583215
10156,3,2.8912295205155387
10157,1,4.027439762966335
10158,0,0
10159,1,4.027439762966335
1016,5,8.732084810016328
10160,1,4.027439762966335
10161,0,0
10162,1,4.027439762966335
10163,1,4.027439762966335
10164,1,4.027439762966335
10167,0,0
10168,2,1.3964180244592483
1017,5,9.0731457484595
10173,2,1.3964180244592483
10174,2,1.3964180244592483
10175,2,1.4407449818504041
10178,2,72.21197236597686
10179,2,1.8601810831959824
1018,3,1.8856295108832186
10181,2,2.011720980189403
10182,1,1.9808602706655394
10183,2,2.6594301964617797
10184,3,3.3280257122978103
10185,0,0
10186,2,2.0483716393466573
10187,2,1.2896795291509247
10188,3,3.357980569042638
10189,3,5.009918776333041
1019,2,1.1474872861249839
10190,2,2.0483716393466573
